pos_id,pos_name,address_city,address_street
1048,גוד פארם הוד השרון*ת.משלוח*,,
1049,"גוד פארם הקניון הגדול פ""ת*ת.משלוח*",,
1051,גוד פארם קרית גת*ת.משלוח*,,
1052,גוד פארם קרית מוצקין*ת.משלוח*,,
1054,גוד פארם רעננה*ת.משלוח*,,
1056,דומינוס פיצה אילת *ת.משלוח* *החל מ:11:00 *,,
1057,דומינוס פיצה אשדוד סיטי *ת.משלוח* *החל משעה 11:00*,,
1058,דומינוס פיצה אשקלון *ת.משלוח* *החל מ:11:00 *,,
1059,דומינוס פיצה ב''ש מרכז  *ת.משלוח* *החל מ:11:00 *,,
1060,דומינוס פיצה ב''ש רמות *ת.משלוח* *החל מ:11:00 *,,
1063,דומינוס פיצה הגבעה הצרפתית*ת.משלוח*החל משעה11:00 *,,
1064,דומינוס פיצה הוד השרון *ת.משלוח* *החל מ:11:00 *,,
1067,דומינוס פיצה זכרון יעקב *ת.משלוח* *החל מ :11:00 *,,
1068,דומינוס פיצה חדרה *ת.משלוח* *החל משעה 11:00 *,,
1070,דומינוס פיצה חיפה אינשטיין *ת.משלוח* החל מ:11:00 *,,
1071,דומינוס פיצה חיפה נווה שאנן *ת.משלוח*החל מ 11:00 *,,
1072,דומינוס פיצה יבנה  *ת.משלוח* *החל משעה 11:00 *,,
1074,דומינוס פיצה יהוד  *ת.משלוח* *החל משעה 11:00 *,,
1075,דומינוס פיצה יקנעם  *ת.משלוח* *החל מ:11:00 *,,
1077,דומינוס פיצה כפר סבא הירוקה *ת.משלוח*החל מ: 11:00*,,
1076,דומינוס פיצה כפר סבא *ת.משלוח* *החל משעה 11:00 *,,
1078,דומינוס פיצה כרמיאל  *ת.משלוח* *החל מ:11:00 *,,
1080,דומינוס פיצה מודיעין קייזר*ת.משלוח*החל משעה 11:00*,,
1079,דומינוס פיצה מודיעין *ת.משלוח*החל משעה 11:00*,,
1081,דומינוס פיצה מוריה *ת.משלוח* *החל משעה 11:00 *,,
1082,דומינוס פיצה מרכז כרמל *ת.משלוח* *החל משעה 11:00 *,,
1083,דומינוס פיצה נהריה *ת.משלוח* *החל מ:11:00 *,,
1084,דומינוס פיצה נס ציונה  *ת.משלוח* *החל מ:11:00 *,,
1085,דומינוס פיצה נצרת עילית *ת.משלוח* *החל משעה 11:00*,,
1086,דומינוס פיצה נתניה מרכז *ת.משלוח* *החל מ:11:00 *,,
1087,דומינוס פיצה נתניה פולג *ת.משלוח* *החל מ:11:00 *,,
1089,דומינוס פיצה פרדס חנה *ת.משלוח* *החל מ:11:00 *,,
1090,דומינוס פיצה קדימה  *ת.משלוח* *החל מ:11:00 *,,
1091,דומינוס פיצה קריון צפון  *ת.משלוח* *החל מ:11:00 *,,
1092,דומינוס פיצה קריות מרכז  *ת.משלוח* *החל מ:11:00 *,,
1095,דומינוס פיצה ראש העין  *ת.משלוח* *החל משעה 11:00 *,,
1096,דומינוס פיצה ראשון מזרח *ת.משלוח**החל משעה 11:00 *,,
1097,דומינוס פיצה ראשון מערב *ת.משלוח**החל משעה 11:00 *,,
1098,דומינוס פיצה ראשון מרכז *ת.משלוח* *החל משעה 11:00*,,
1099,דומינוס פיצה רהט  *ת.משלוח* *החל מ:11:00 *,,
1100,דומינוס פיצה רחובות אזורים *ת.משלוח**החל מ:11:00 *,,
1101,דומינוס פיצה רחובות פארק המדע*ת.משלוח*החל מ:11:00*,,
1102,דומינוס פיצה רמלה *ת.משלוח* *החל מ:11:00 *,,
1106,דומינוס פיצה רמת ישי  *ת.משלוח* *החל מ:11:00 *,,
1107,דומינוס פיצה רעננה *ת.משלוח* *החל משעה 11:00 *,,
1108,דומינוס פיצה תלפיות *ת.משלוח* *החל משעה 11:00 *,,
1229,וולט מרקט אשדוד -,,
1230,וולט מרקט אשקלון,,
1231,וולט מרקט באר שבע -,,
1233,וולט מרקט הקריון -,,
1234,וולט מרקט הרובע ראשון -,,
1237,וולט מרקט חיפה -,,
1238,וולט מרקט ירושלים -,,
1239,וולט מרקט כפר סבא,,
1240,וולט מרקט לב השרון -,,
1241,וולט מרקט מודיעין -,,
1242,וולט מרקט נס ציונה,,
1243,וולט מרקט נתניה -,,
1244,וולט מרקט סינמה ירושלים,,
1245,וולט מרקט פולג -,,
1248,וולט מרקט ראשון מערב -,,
1249,וולט מרקט רחובות   -,,
1252,וולט מרקט רעננה -,,
1113,חוות נעמי מודעין *ת. משלוח*,,
1114,חוות נעמי סביונים *ת. משלוח*,,
1115,חוות נעמי רעננה *ת. משלוח*,,
1116,חוות נעמי שוהם *ת. משלוח*,,
1118,"נוי השדה אונליין פ""ת*ת.משלוח*",,
1119,נוי השדה באר יעקב *ת.משלוח*,,
1120,נוי השדה גבעת שמואל *ת.משלוח*,,
1122,נוי השדה הוד השרון  *ת.משלוח*,,
1123,נוי השדה יהוד קניון סביונים *ת.משלוח*,,
1124,נוי השדה מודיעין *ת.משלוח*,,
1126,נוי השדה ראש העין *ת.משלוח*,,
1127,נוי השדה ראשון נרקיסים  *ת.משלוח*,,
